vertex_ind,xcoord,ycoord
"160",-178921.130692438688129,-2479739.213543924968690
"161",-178811.173392180178780,-2479624.741844466421753
"162",-178690.928919317666441,-2479518.106120363809168
"163",-178561.273007117095403,-2479419.771083115134388
"164",-178423.195076665026136,-2479330.027397490572184
"165",-178277.652129754424095,-2479248.959817477036268
"166",-178125.682891463919077,-2479176.439540362451226
"167",-177968.163436931092292,-2479112.231045516207814
"168",-177805.983942619117443,-2479055.989450502675027
"169",-177639.885241299722111,-2479007.376850285101682
"170",-177470.627438728348352,-2478966.113543407525867
"171",-177298.704860093013849,-2478932.025373629294336
"172",-177125.074342985346448,-2478904.987630978692323
"173",-176950.147616919653956,-2478885.005335480440408
"174",-176774.647761446482036,-2478872.067779743578285
"175",-176599.093910512543516,-2478866.201394494622946
"176",-176424.107392498553963,-2478867.317563823889941
"177",-176250.081742395297624,-2478875.243300522677600
"178",-176077.622637372871395,-2478889.669884421397001
"179",-175906.923662791028619,-2478909.943955385591835
"180",-175738.215307678910904,-2478935.348555240780115
"181",-175571.461865370452870,-2478964.711660173255950
"182",-175406.578396738390438,-2478996.835375577211380
"183",-175243.251983594178455,-2479030.167045291978866
"184",-175081.166540832637111,-2479063.238733714912087
"185",-174919.882502144086175,-2479094.488075700122863
"186",-174759.079945166391553,-2479122.621594667434692
"187",-174598.379389394714963,-2479146.518337922636420
"188",-174437.677684386580950,-2479165.434276754967868
"189",-174276.725413000094704,-2479178.849402903579175
"190",-174115.565551529201912,-2479186.780626683495939
"191",-173954.073182438034564,-2479189.406700013205409
"192",-173792.255731884739362,-2479187.421079286374152
"193",-173629.935082312556915,-2479181.569436183199286
"194",-173467.186462869402021,-2479173.052092948928475
"195",-173303.756502226286102,-2479163.207590182777494
"196",-173139.526781682419823,-2479153.365827567875385
"197",-172974.276906129613053,-2479144.909188611898571
"198",-172807.957138435856905,-2479139.063444612547755
"199",-172640.413508155674208,-2479136.869348471518606
"200",-172471.658738177822670,-2479139.255650346167386
"201",-172301.614704238076229,-2479146.639581000898033
"202",-172130.427999027364422,-2479159.348282141610980
"203",-171958.054596609377768,-2479177.274079999886453
"204",-171784.565223753510509,-2479200.184294366743416
"205",-171609.887852291547460,-2479227.465138952247798
"206",-171434.069768152665347,-2479258.450967190321535
"207",-171256.913061211642344,-2479292.195715573150665
"208",-171078.550194710260257,-2479327.811375281773508
"209",-170898.822249235439813,-2479364.252459062729031
"210",-170717.796180919016479,-2479400.643713003490120
"211",-170535.447644989180844,-2479436.083592963870615
"212",-170351.955752722918987,-2479469.917059681843966
"213",-170167.419358876853948,-2479501.431706494651735
"214",-169982.173713495139964,-2479530.185249202884734
"215",-169796.366324520553462,-2479555.633989885449409
"216",-169610.504762106196722,-2479577.403090422041714
"217",-169424.735459736373741,-2479595.116191042587161
"218",-169239.526880165562034,-2479608.274114078376442
"219",-169055.046726053988095,-2479616.430391390342265
"220",-168871.777154304232681,-2479618.898045982699841
"221",-168689.959862785617588,-2479615.057444756850600
"222",-168510.023294072540011,-2479604.136054918635637
"223",-168332.317331128491787,-2479585.372129684779793
"224",-168157.471693087602034,-2479558.041526836343110
"225",-167985.988311002147384,-2479521.508468720130622
"226",-167818.581429500714876,-2479475.340852473396808
"227",-167655.901770547672641,-2479419.227198796812445
"228",-167498.727867526526097,-2479353.143446506932378
"229",-167347.641033419291489,-2479277.182642766274512
"230",-167203.393387134972727,-2479191.663552135229111
"231",-167066.326028927054722,-2479097.087671021930873
"232",-166936.659618752164533,-2478994.065204858314246
"233",-166814.303463870368432,-2478883.435952320229262
"234",-166698.738272706163116,-2478766.161531147081405
"235",-166589.053976455499651,-2478643.327554269228131
"236",-166483.970056689460762,-2478516.156260818243027
"237",-166381.846453003003262,-2478385.995767354965210
"238",-166280.895876016700640,-2478254.131801473908126
"239",-166179.249611317878589,-2478122.019696338102221
"240",-166075.283224436221644,-2477990.794159022159874
"241",-165967.545093062130036,-2477861.542700407095253
"242",-165854.983504613221157,-2477735.188464726321399
"243",-165736.782539026084123,-2477612.582204971928149
"244",-165612.504897335282294,-2477494.436819522175938
"245",-165481.846411861042725,-2477381.402701347600669
"246",-165344.875198970665224,-2477274.104964986909181
"247",-165201.642553829035023,-2477173.099402015097439
"248",-165052.434797708992846,-2477078.888727012090385
"249",-164897.516149434144609,-2476992.015865683089942
"250",-164737.382635961344931,-2476912.865117958281189
"251",-164572.348317372350721,-2476841.918188789859414
"252",-164403.111343513766769,-2476779.502378737088293
"253",-164230.076039123698138,-2476725.933818143792450
"254",-164053.913338372891303,-2476681.374717167578638
"255",-163875.128019934287295,-2476645.907512062694877
"256",-163694.346773382800166,-2476619.537211057730019
"257",-163512.032928164029727,-2476602.078211204614490
"258",-163328.817118444014341,-2476593.278447913937271
"259",-163145.048727344896179,-2476592.669583979528397
"260",-162961.172508523566648,-2476599.729834869038314
"261",-162777.397025904909242,-2476613.828210934996605
"262",-162594.006848214805359,-2476634.242285511456430
"263",-162411.037287624581950,-2476660.260803041048348
"264",-162228.605000742536504,-2476691.151260389946401
"265",-162046.611084754345939,-2476726.277311292011291
"266",-161865.107136629376328,-2476765.040320170111954
"267",-161683.932704348873813,-2476806.994242827408016
"268",-161503.063371180789545,-2476851.715722640510648
"269",-161322.271754526824225,-2476898.965372125618160
"270",-161141.621118326322176,-2476948.520908579230309
"271",-160960.864869883225765,-2477000.274507125839591
"272",-160779.964958216412924,-2477054.180348950903863
"273",-160598.692447212291881,-2477110.194419421721250
"274",-160416.938797953946050,-2477168.176838022656739
"275",-160234.407491932099219,-2477227.908260254189372
"276",-160050.918330859509297,-2477289.168782412074506
"277",-159866.123338591307402,-2477351.591021258849651
"278",-159679.788055213837652,-2477414.899534008931369
"279",-159491.565247733204160,-2477478.613028984516859
"280",-159301.252667816355824,-2477542.312803615350276
"281",-159108.562537573627196,-2477605.568794994615018
"282",-158913.415033236320596,-2477668.031124689616263
"283",-158715.629638293350581,-2477729.413975968025625
"284",-158515.383239531016443,-2477789.537743755150586
"285",-158312.692388597410172,-2477848.401702672708780
"286",-158107.889321164984722,-2477906.180558578111231
"287",-157901.249929720535874,-2477963.135917354375124
"288",-157693.282993896311382,-2478019.856034414842725
"289",-157484.411721990589285,-2478076.903213359881192
"290",-157275.436220981238876,-2478135.137325616087765
"291",-157066.885442533559399,-2478195.621791063807905
"292",-156859.723699789057719,-2478259.307037699036300
"293",-156654.639159947109874,-2478327.240836380980909
"294",-156452.716869814612437,-2478400.403399599716067
"295",-156254.745232784363907,-2478479.805862413719296
"296",-156061.885489104548469,-2478566.123251261655241
"297",-155874.992569898284273,-2478659.871993182227015
"298",-155695.017910244088853,-2478761.360702282283455
"299",-155522.738734264741652,-2478870.595248586963862
"300",-155358.915800794435199,-2478987.443633009679615
"301",-155204.006358990824083,-2479111.507140166126192
"302",-155058.279916357947513,-2479242.277050547767431
"303",-154921.623243265901692,-2479379.033861400093883
"304",-154793.539275989256566,-2479520.948626829776913
"305",-154672.989033816847950,-2479666.974707840941846
"306",-154558.414238466473762,-2479815.939289513975382
